{
  [80, 999999931, 999999964, 999999978, 35, 999999952, 10, 999999973, 69, 71]
  [32, 47, 999999964, 999999984, 48, 28, 999999910, 999999983, 63, 999999970]
  [92, 55, 74, 1000000003, 57, 999999972, 999999993, 8, 75, 999999961]
  [18, 88, 999999983, 999999959, 30, 999999934, 60, 999999925, 1000000004, 19]
  [999999956, 999999913, 10, 0, 999999991, 25, 12, 28, 999999975, 999999943]
  [999999907, 999999995, 75, 999999975, 30, 999999922, 999999908, 1000000005, 37, 82]
  [999999943, 999999926, 999999988, 999999976, 63, 999999961, 999999927, 76, 999999920, 999999959]
  [99, 999999919, 35, 38, 76, 74, 30, 999999921, 4, 999999998]
  [91, 53, 51, 999999996, 1000000006, 999999937, 1000000003, 999999965, 999999927, 999999926]
  [78, 96, 5, 999999955, 999999917, 999999907, 999999980, 999999986, 999999988, 999999929]
}
